,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10,Company/Brand,What it does,Amount($),Company Name,Industry,Round/Series,Location,About Company
247,,,,,,,,2000000,,,,,,SaffronStays,—,Seed,"Mumbai, Maharashtra, India",SaffronStays connects travellers to India's Incredible hosts.
248,,,,,,,,—,,,,,,Vebbler,"File Sharing, Personalization, Social Media",Seed,"Bengaluru, Karnataka, India",A personal network for close people
249,,,,,,,,4200000,,,,,,Foyr,"Home Decor, Interior Design",Series A,"Pune, Maharashtra, India","Foyr.com is India's first online, automated interior designer"
250,,,,,,,,175000,,,,,,MEngage,"Health Care, Medical Device, Mobile Apps",Seed,"Jaipur, Rajasthan, India",MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.
251,,,,,,,,"₹35,000,000",,,,,,Inner Being Wellness,—,Angel,"Hyderabad, Andhra Pradesh, India","Inner Being Wellness manufactures beauty, wellness, and nutrition products."
252,,,,,,,,—,,,,,,Kobster,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Seed,"Chennai, Tamil Nadu, India",Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.
253,,,,,,,,"₹100,000,000",,,,,,Wishberry,"Crowdfunding, Finance, Financial Services",Series A,"Mumbai, Maharashtra, India",Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.
254,,,,,,,,1300000,,,,,,McXtra,"Finance, Financial Services, Insurance",Seed,"Andheri, Maharashtra, India",McXtra is a digital insurance broking startup.
255,,,,,,,,—,,,,,,Magic Crate,"Children, Education, Online Portals",Seed,"Bangalore, Karnataka, India","Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month."
256,,,,,,,,1450000,,,,,,SmartVizX,"Software, Virtual Reality",Seed,"Noida, Uttar Pradesh, India",It is a Virtual Reality Solutions StartUp
257,,,,,,,,—,,,,,,MySEODoc,—,Seed,"Delhi, Delhi, India","SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management"
258,,,,,,,,"₹200,000",,,,,,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,—,Seed,"Pune, Maharashtra, India",Digital Marketing Agency
259,,,,,,,,1000000,,,,,,Scale Labs,—,Seed,"Delhi, Delhi, India",Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.
260,,,,,,,,4500000,,,,,,HungerBox,"B2B, Food and Beverage, Food Delivery",Series A,"Bengaluru, Karnataka, India",HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.
261,,,,,,,,1000000,,,,,,Biryani By Kilo,"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,"Noida, Uttar Pradesh, India",BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.
262,,,,,,,,500000,,,,,,Wholesome Habits (EAT Anytime),"Food and Beverage, Snack Food",Seed,"Mumbai, Maharashtra, India",Wholesome Habits (EAT Anytime) is a healthy snacks Company.
263,,,,,,,,600000,,,,,,GoBumpr,"Automotive, E-Commerce, Mobile",Seed,"Mylapore, Tamil Nadu, India",Car Service and Bike Service Mobile App
264,,,,,,,,250000,,,,,,Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,"Ahmedabad, Gujarat, India",Fixpocket is a internet-based startup.
265,,,,,,,,2000000,,,,,,edureka!,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",Series A,"Bangalore, Karnataka, India","Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries."
266,,,,,,,,—,,,,,,Hashtag Loyalty Private Limited,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Seed,"Mumbai, Maharashtra, India",Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.
267,,,,,,,,4500000,,,,,,Wow Express,"Delivery, Information Technology, Mobile Apps",Series A,"Mumbai, Maharashtra, India","WOW, as customers react to his studiously taught, trained, polite and courteous nature."
268,,,,,,,,"₹16,600,000",,,,,,ZunRoof,"Environmental Consulting, Renewable Energy",Angel,"Gurgaon, Haryana, India",ZunRoof is a rooftop focused solar startup.
269,,,,,,,,"₹12,000,000",,,,,,Eggoz,"Food and Beverage, Food Processing",Angel,"Indore, Madhya Pradesh, India",Eggoz is a full-stack layer poultry business operator & service provider .
270,,,,,,,,1000000,,,,,,Sqrrl Fintech,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,"Gurgaon, Haryana, India",Personal Finance
271,,,,,,,,—,,,,,,GalaxyCard,"Finance, Financial Services, FinTech",Seed,"Noida, Uttar Pradesh, India",GalaxyCard is a mobile based Instant credit card.
272,,,,,,,,15000000,,,,,,IndiQube,"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,"Bengaluru, Karnataka, India",IndiQube is a provider of co-working spaces based in Bengaluru.
273,,,,,,,,"₹20,000,000",,,,,,EGK Foods,"Food and Beverage, Food Processing, Organic Food, Snack Food",Seed,"Mumbai, Maharashtra, India",A food processing enterprise registered with StartUp India .
274,,,,,,,,300000,,,,,,NirogStreet,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,"Gurgaon, Haryana, India",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.
275,,,,,,,,50000,,,,,,Pixr8,"Digital Media, Incubators, Social Entrepreneurship",Seed,"Ghaziabad, Uttar Pradesh, India",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.
276,,,,,,,,"₹30,000,000",,,,,,Nivesh.com,"Finance, Financial Services, Marketing",Seed,"Noida, Uttar Pradesh, India",Nivesh.com is a mass market mutual funds investment platform.
277,,,,,,,,—,,,,,,Theranosis Life Sciences,"Biotechnology, Health Care, Life Science, Medical Device",Seed,"Hyderabad, Andhra Pradesh, India",A fully functioning cell culture facility and molecular biology setup.
278,,,,,,,,—,,,,,,Poshmiles Online Solutions Private Limited,Travel,Seed,"Bengaluru, Karnataka, India",Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.
279,,,,,,,,—,,,,,,Reculta,"Education, Human Resources",Seed,"Noida, Uttar Pradesh, India",A campus recruitment solution provider.
280,,,,,,,,—,,,,,,Orbo.ai,Internet,Seed,"Mumbai, Maharashtra, India",Orbo is a computer vision and deep facial technology company.
281,,,,,,,,—,,,,,,Inntot Technologies,Consumer Electronics,Seed,"Kochi, Kerala, India","Inntot Technologies, is a technology driven company."
282,,,,,,,,—,,,,,,Zoctr Health,"Apps, Health Care, Hospital, Mobile Apps",Seed,"Powai, Assam, India",Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company
283,,,,,,,,"₹33,000,000",,,,,,Hey Deedee,"Delivery Service, Logistics, Service Industry",Seed,"Mumbai, Maharashtra, India",Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.
284,,,,,,,,125000,,,,,,DigiConnectt Technologys,"Information Services, Information Technology",Seed,"Bengaluru, Karnataka, India",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .
285,,,,,,,,4000000,,,,,,Locus.sh,"Big Data, Data Visualization, Logistics, Software",Series A,"Bangalore, Karnataka, India",Locus is an intelligent logistics automation platform.
286,,,,,,,,1000000,,,,,,Sports Flashes Pvt. Ltd,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,"New Delhi, Delhi, India","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more."
287,,,,,,,,—,,,,,,Inc42,"Media and Entertainment, News, Publishing",Seed,"New Delhi, Delhi, India",Inc42 is one of the leading tech media publications of India.
288,,,,,,,,130000,,,,,,Picxy,Internet,Seed,"Guntur, Andhra Pradesh, India","A stock photo startup based in Amravati, Andhra Pradesh."
289,,,,,,,,300000,,,,,,Huddle,Consulting,Seed,"Haryana, Haryana, India",A coworking incubator Company.
290,,,,,,,,—,,,,,,Benepik,Human Resources,Seed,"Gurgaon, Haryana, India",HR Technology start-up.
291,,,,,,,,1000000,,,,,,Cash Suvidha,Finance,Seed,"New Delhi, Delhi, India",Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.
292,,,,,,,,2000000,,,,,,Smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,"Bangalore, Karnataka, India",Providing financial access to the millions of mobile users in India using alternative credit assessment
293,,,,,,,,—,,,,,,Carmel Organics,"Agriculture, AgTech, Manufacturing",Series A,"Indore, Madhya Pradesh, India","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients."
294,,,,,,,,250000,,,,,,Roadcast,—,Angel,"New Delhi, Delhi, India",Transforming the way businesses deliver. Work-force & fleet mobility tools.
295,,,,,,,,"₹34,900,000",,,,,,Printline Media(ThePrint),"Digital Media, News, Publishing",Seed,"New Delhi, Delhi, India",A digital news platform.
296,,,,,,,,—,,,,,,Creditas Solutions,Financial Services,Seed,"Gurgaon, Haryana, India",Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.
297,,,,,,,,—,,,,,,UrbanPiper,Software,Seed,"Bengaluru, Karnataka, India",UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.
298,,,,,,,,"₹72,000,000",,,,,,Doxper,"Health Care, Hospital",Seed,"Mumbai, Maharashtra, India",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information
299,,,,,,,,"₹50,000,000",,,,,,i2ifunding,"Crowdfunding, Finance, Financial Services",Angel,"Noida, Uttar Pradesh, India",i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.
300,,,,,,,,—,,,,,,ShakeDeal,"B2B, E-Commerce, Enterprise",Seed,"Bangalore, Karnataka, India",Home of B2B Commerce
301,,,,,,,,—,,,,,,HelloVerify,"Fraud Detection, Information Services, Security",Seed,"Noida, Uttar Pradesh, India",HelloVerify is an online background check platform.
302,,,,,,,,120000,,,,,,Fasal,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Seed,"Bengaluru, Karnataka, India",Climate Smart Precision Agriculture Platform
303,,,,,,,,"₹120,000,000",,,,,,CoinGeto,"Cryptocurrency, Trading Platform",Seed,"Delhi, Delhi, India",CoinGeto is one of India’s most advanced digital assets exchange.
304,,,,,,,,17200000,,,,,,Avail Finance,"Finance, FinTech, Mobile Payments",Series A,"Bangalore, Karnataka, India",Avail is a mobile-first platform aiming to financially include the urban mass of India.
305,,,,,,,,600000,,,,,,Tripeur,Information Technology,Seed,"Bengaluru, Karnataka, India",Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software
306,,,,,,,,—,,,,,,Wedeterna,Wedding,Angel,"Bangalore, Karnataka, India","Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles."
307,,,,,,,,—,,,,,,Stumagz,Digital Media,Seed,"Hyderabad, Andhra Pradesh, India",Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.
308,,,,,,,,"₹35,000,000",,,,,,Doubtnut,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Seed,"Gurgaon, Haryana, India",Gurgaon based E-learning platform.
309,,,,,,,,"₹32,000,000",,,,,,MCaffeine,Consumer Goods,Seed,"Mumbai, Maharashtra, India",MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.
310,,,,,,,,100000,,,,,,TrustCheckr,Information Technology,Angel,"Bengaluru, Karnataka, India",A Bengaluru-based fraud analytics solution provider .
311,,,,,,,,1000000,,,,,,HealthAssure,"Fitness, Health Care, Wellness",Seed,"Mumbai, Maharashtra, India",HealthAssure provides access to Discounted & High Quality primary care medical network.
312,,,,,,,,"₹250,000,000",,,,,,Picture TIme,Digital Entertainment,Seed,"New Delhi, Delhi, India",Operator of low-cost mobile cinema theatres in rural areas.
313,,,,,,,,3500000,,,,,,1Crowd,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Angel,"Mumbai, Maharashtra, India",Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures
314,,,,,,,,—,,,,,,Aarav Unmanned Systems,"Delivery, Drones, Geospatial, Robotics",Seed,"Bangalore, Karnataka, India",Professional Drones for Enterprise Applications
315,,,,,,,,"₹135,000,000",,,,,,Wellthy Therapeutics Pvt Ltd,"Health Care, Hospital",Seed,"Mumbai, Maharashtra, India","Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes."
316,,,,,,,,—,,,,,,Nua,Consumer Goods,Seed,"Mumbai, Maharashtra, India",Nua is an e-commerce and feminine care brand platform focused on creating women care products.
317,,,,,,,,250000,,,,,,Kuvera.in,Financial Services,Angel,"Bangalore, Karnataka, India",An online platform for mutual fund investments.
318,,,,,,,,1100000,,,,,,Livehealth,"Health Care, Information Technology, Management Information Systems",Seed,"Pune, Maharashtra, India",Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health
319,,,,,,,,1000000,,,,,,Gramophone,Farming,Seed,"Indore, Madhya Pradesh, India",An agricultural inputs startup Company.
320,,,,,,,,—,,,,,,Ora,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Seed,"Kolkata, West Bengal, India",Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.
321,,,,,,,,3000000,,,,,,Buddy4Study.com,"Career Planning, Education, Higher Education, Service Industry",Series A,"Noida, Uttar Pradesh, India",Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.
322,,,,,,,,—,,,,,,Predible Health,Medical Device,Seed,"Bangalore, Karnataka, India",Healthcare devices for cancer detection
323,,,,,,,,—,,,,,,Syncremedies Healthcare Pvt Ltd,"Alternative Medicine, Health Care",Seed,"Bangalore, Karnataka, India","Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments."
324,,,,,,,,—,,,,,,Blueleaf Cyberspace Systems,"Internet, Software",Seed,"Bangalore, Karnataka, India",Bluleaf Cyberspace is Cloud Based Software Company.
325,,,,,,,,1500000,,,,,,Toffee,—,Seed,"Gurgaon, Haryana, India","Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience."
326,,,,,,,,1600000,,,,,,ORO Wealth,—,Series A,"Mumbai, Maharashtra, India",Online wealth management platform
327,,,,,,,,200000,,,,,,HealWell24,"Dental, Elder Care, Health Care, Home Health Care, Personal Health",Seed,"Mumbai, Maharashtra, India","HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere."
328,,,,,,,,12000000,,,,,,Acko General Insurance,"Financial Services, Insurance, Private Social Networking",Series A,"Mumbai, Maharashtra, India",Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.
329,,,,,,,,"₹15,000,000",,,,,,arzooo.com,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",Seed,"Bangalore, Karnataka, India",E-commerce website promising the best price on any product a consumer buys anywhere on the internet.
330,,,,,,,,"₹20,000,000",,,,,,Bonphul Air Products,CleanTech,Angel,"Delhi, Delhi, India",A clean tech product Company
331,,,,,,,,—,,,,,,DheeYantra Research Labs,Artificial Intelligence,Seed,"Bangalore, Karnataka, India","DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages"
332,,,,,,,,1000000,,,,,,Edyoo,Education,Seed,"Bengaluru, Karnataka, India","Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use."
333,,,,,,,,"₹10,000,000",,,,,,Chtrbox,"Advertising, Internet, Marketing",Angel,"Mumbai, Maharashtra, India",Chtrbox connects social media influencers with brands .
334,,,,,,,,"₹135,000,000",,,,,,Aashiyaan Housing and Development Finance,Financial Services,Seed,"Kolkata, West Bengal, India",Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.
335,,,,,,,,3000000,,,,,,BetterPlace Safety Solutions Pvt. Ltd.,"Human Resources, Security, Training",Series A,"Bangalore City, Karnataka, India","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks."
336,,,,,,,,"₹50,000,000",,,,,,Cashkumar,"Consumer Lending, Finance, FinTech",Seed,"Bengaluru, Karnataka, India",A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India
337,,,,,,,,"₹20,000,000",,,,,,Rocketium,"Marketing, Social Media, Video",Seed,"Bangalore, Karnataka, India",Easy video creation for social media.
338,,,,,,,,—,,,,,,FreightBazaar,Transportation,Seed,"Hyderabad, Andhra Pradesh, India",FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.
339,,,,,,,,—,,,,,,OPEN,Banking,Seed,"Bangalore, Karnataka, India",Open up to a new world of Banking
340,,,,,,,,4200000,,,,,,mfine,"Health Care, Hospital",Series A,"Bengaluru, Karnataka, India",Hospital & Health Care Start up
341,,,,,,,,"₹64,000,000",,,,,,Earth Food,"Food and Beverage, Food Processing",Seed,"Pune, Maharashtra, India",Earth Food is a healthy Food Start Up.
342,,,,,,,,"₹50,000,000",,,,,,Charcoal Eats,Food Processing,Seed,"Mumbai, Maharashtra, India",Charcoal Eats aims to bring Dominos style standardisation.
343,,,,,,,,—,,,,,,Wishfie,Apps,Seed,"Bangalore, Karnataka, India",A platform for people to express their opinions in form of short videos around any topic.
344,,,,,,,,—,,,,,,The Social Hook,Marketing,Seed,"Bengaluru, Karnataka, India",Fast growing Influencer Marketing platform in India.
345,,,,,,,,—,,,,,,FreightBro,"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Seed,"Mumbai, Maharashtra, India",Software for the new-age freight
346,,,,,,,,—,,,,,,Finwego,—,Seed,"Chennai, Tamil Nadu, India",Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees
347,,,,,,,,—,,,,,,Cricnwin,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Seed,"Gurgaon, Haryana, India",Cricnwin is a Gurugram - based Fan Engagement Platform
348,,,,,,,,250000,,,,,,TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges."
349,,,,,,,,"$10,000,000",,,,,,Wicked Ride Adventure Services Private Limited,"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Venture - Series Unknown,"Bangalore, Karnataka, India",Peer-to-Peer motor vehicles sharing
350,,,,,,,,"₹40,000,000",,,,,,Career Anna,"Commercial, E-Learning, Education",Seed,"Bangalore, Karnataka, India",India's Go to Career Commerce Portal
351,,,,,,,,"$40,000,000",,,,,,ERUDITUS Executive Education,"Continuing Education, EdTech, Education, Skill Assessment",Series C,"Mumbai, Maharashtra, India","Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes"
352,,,,,,,,—,,,,,,Gaia Smart Cities,"Smart Cities, Telecommunications",Seed,"Mumbai, Maharashtra, India",Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.
353,,,,,,,,"$1,100,000",,,,,,Square Off,"Internet of Things, Robotics",Seed,"Mumbai, Maharashtra, India",Delivering Imagination
354,,,,,,,,"$50,000,000",,,,,,UrbanClap,"Apps, Home Services, Information Services, Information Technology",Series D,"Delhi, Delhi, India",UrbanClap is India's leading managed marketplace for home services.
355,,,,,,,,"$1,500,000",,,,,,Hospals,"Medical, Tourism",Seed,"New Delhi, Delhi, India",Hospals is a medical tourism company.
356,,,,,,,,"₹1,540,000,000",,,,,,Kogta Financial India Limited,Financial Services,Series B,"Jaipur, Rajasthan, India",Kogta Financial (India) Ltd is a retail-focused non banking financial company .
357,,,,,,,,—,,,,,,Perspectico,"Career Planning, Education, Internet",Seed,"New Delhi, Delhi, India",An Education Management startup.
358,,,,,,,,"$3,000,000",,,,,,The Souled Store,"Fashion, Graphic Design, Wearables",Venture - Series Unknown,"Mumbai, Maharashtra, India","The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters."
359,,,,,,,,"₹45,000,000",,,,,,Hush - Speak Up. Make Work Better,"Communities, Leisure, Mobile Apps, Software",Seed,"Bangalore, Karnataka, India",Enabling diversity of opinions in organizations
360,,,,,,,,"$100,000,000",,,,,,Drivezy,"Automotive, Rental, Sharing Economy",Debt Financing,"Bengaluru, Karnataka, India",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.
361,,,,,,,,"$1,500,000",,,,,,Freyr Energy,"Energy, Environmental Consulting, Renewable Energy, Solar",Series A,"Hyderabad, Andhra Pradesh, India","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India."
362,,,,,,,,"$6,000,000",,,,,,NIRAMAI Health Analytix,"Health Care, Hospital",Seed,"Bangalore, Karnataka, India",NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.
363,,,,,,,,"₹140,000,000",,,,,,CloudSek,"Information Technology, SaaS, Security",Seed,"Bengaluru, Karnataka, India",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.
364,,,,,,,,"₹60,000,000",,,,,,Lendbox,"Crowdfunding, Financial Services, Internet",Seed,"Delhi, Delhi, India",Lendbox is India's leading peer-to-peer lending online lending platform.
365,,,,,,,,"$3,000,000",,,,,,Verloop,"Customer Service, Information Technology, Internet, Sales Automation",Series A,"Bangalore, Karnataka, India",Verloop is an automated customer support and engagement platform.
366,,,,,,,,—,,,,,,Flickstree,"Advertising, Artificial Intelligence, Digital Media, iOS, Location Based Services, News, Video, Video on Demand, Video Streaming",Seed,"Mumbai, Maharashtra, India","Flickstree is a smart video content aggregator, powered by Artificial Intelligence."
367,,,,,,,,"$100,000",,,,,,Paymatrix,"Credit Cards, Payments, Property Insurance, Property Management, Rental Property",Seed,"Hyderabad, Andhra Pradesh, India",India's Leading Property Rent management platform
368,,,,,,,,"₹5,000,000",,,,,,Idha Skin Clinic,"Beauty, Cosmetics, Health Care, Service Industry",Seed,"Bangalore City, Karnataka, India",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.
369,,,,,,,,"$41,900,000",,,,,,InCred,"Banking, Finance, Financial Services",Private Equity,"Mumbai, Maharashtra, India",InCred Finance is a mumbai-based non-banking financial company
370,,,,,,,,"$11,000,000",,,,,,Vedantu,"EdTech, Education, Mobile, Tutoring",Series B,"Bangalore, Karnataka, India",Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers
371,,,,,,,,—,,,,,,Sportido,"Social Media, Sports",Seed,"Noida, Uttar Pradesh, India",Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.
372,,,,,,,,"$100,000,000",,,,,,Stelis Biopharma,Biopharma,Series B,"Bangalore, Karnataka, India",Stelis Biopharma is a vertically integrated biopharmaceutical company
373,,,,,,,,"₹1,410,000,000",,,,,,Magicpin,"E-Commerce, E-Commerce Platforms, Retail",Series C,"Gurgaon, Haryana, India","Magicpin is a platform where users and merchants in a locality discover, interact, and transact."
374,,,,,,,,—,,,,,,Try & Buy,"E-Commerce, Fashion, Shopping",Seed,"New Delhi, Delhi, India",Try & Buy
375,,,,,,,,"$3,530,000",,,,,,Mech Mocha,"Digital Entertainment, Mobile, PC Games",Series B,"Bangalore, Karnataka, India",Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .
376,,,,,,,,"₹72,000,000",,,,,,Aye Finance,"Finance, Financial Services, Small and Medium Businesses",Debt Financing,"Gurgaon, Haryana, India",Aye Finance provides financial services to micro and small businesses in Northern India.
377,,,,,,,,"$200,000",,,,,,Aldopay,Mobile Payments,Seed,"Chennai, Tamil Nadu, India",Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.
378,,,,,,,,"$3,300,000",,,,,,Detect Technologies,"Artificial Intelligence, Energy, Oil and Gas",Series A,"Chennai, Tamil Nadu, India",Completely automated remote control system.
379,,,,,,,,"₹240,000,000",,,,,,Signzy,"Computer, FinTech, Risk Management, Software",Series A,"Bangalore, Karnataka, India",Signzy are creating 'building blocks for a Digital Trust system.
380,,,,,,,,"$1,000,000",,,,,,CashRich,"Apps, Financial Services, FinTech",Seed,"Mumbai, Maharashtra, India",A Mumbai-based fin-tech startup
381,,,,,,,,—,,,,,,Cloudnine Hospitals,"Child Care, Health Care, Hospital, Medical, Women's",Private Equity,"Bangalore, Karnataka, India",Cloudnine is an Indian chain of women and child care hospitals.
382,,,,,,,,"₹580,000,000",,,,,,CropIn Technologies,"Agriculture, Mobile",Series B,"Bengaluru, Karnataka, India","To discover, develop and deliver innovative solution in Agtech Space"
383,,,,,,,,—,,,,,,Billdesk,"Finance, FinTech, Payments, Property Development, Rental",Venture - Series Unknown,"Ahmedabad, Gujarat, India","BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying"
384,,,,,,,,"$2,000,000",,,,,,Yaantra,"Information Services, Information Technology, Mobile, Software",Debt Financing,"Delhi, Delhi, India","Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India"
385,,,,,,,,"$100,000",,,,,,TECHBOOZE,Education,Seed,"New Delhi, Delhi, India","Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country."
386,,,,,,,,"$6,000,000",,,,,,HealthifyMe,"Apps, Fitness, Health Care, mHealth",Series B,"Bangalore, Karnataka, India",HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.
387,,,,,,,,"₹36,000,000",,,,,,hoi foods,"Food and Beverage, Food Delivery",Seed,"Gurgaon, Haryana, India",India's first hotel dedicated food brand which promises great in room dining experience in budget hotels
388,,,,,,,,"₹340,000,000",,,,,,Perpule,"Apps, Payments, Retail",Series A,"Bangalore, Karnataka, India",Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.
389,,,,,,,,"$210,000,000",,,,,,Royal Sundaram General Insurance Co. Limited,"Health Insurance, Insurance, Life Insurance",Corporate Round,"Kalpakkam, Tamil Nadu, India","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses."
390,,,,,,,,"₹35,000,000",,,,,,CleanseCar,Automotive,Angel,"Bangalore, Karnataka, India",CleanseCar is a company provides Washing and Repair Services.
391,,,,,,,,"₹70,000,000",,,,,,DRIVEU,"Rental, Taxi Service, Travel",Venture - Series Unknown,"Bengaluru, Karnataka, India",DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses
392,,,,,,,,"$11,000,000",,,,,,Spinny,"E-Commerce, E-Commerce Platforms, Internet, Retail",Series A,"Gurgaon, Haryana, India",Used cars marketplace in India. Ushering new era of transparency and convenience.
393,,,,,,,,—,,,,,,Asset Reconstruction Company (India) Ltd.,"Financial Services, Professional Services",Secondary Market,"Mumbai, Maharashtra, India",Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.
394,,,,,,,,"₹50,000,000",,,,,,Med365 Healthcare,Health Diagnostics,Seed,"Jaipur, Rajasthan, India","Wellness, Specialised Testing, Healthcare at Home"
395,,,,,,,,"₹70,000,000",,,,,,Dunzo,"Customer Service, Messaging, Mobile Apps, Personalization",Debt Financing,"Bangalore, Karnataka, India",Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.
396,,,,,,,,"$5,000,000",,,,,,Mobile Premier League (MPL),"Gaming, iOS, Sports",Series A,"Bengaluru, Karnataka, India",Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.
